modality,brain_id,region,section,file_path,filename,subfolder,shape,dtype,axes,n_pages,parse_status,suffix_tags,year,total_sections,thickness,magnification,exposure,channel,filter_code
nissl,B07,A2,S1,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_A2_cropped_edited\B07_A2_S1_4x_4ms_nissl_50um_fused_cropped_cropped_splitchannel_gray_invert.tif,B07_A2_S1_4x_4ms_nissl_50um_fused_cropped_cropped_splitchannel_gray_invert.tif,B07_A2_cropped_edited,"(3815, 300)",uint16,YX,1,ok,4x_4ms_nissl_50um_fused_cropped_cropped_splitchannel_gray_invert,,,,,,,
nissl,B07,A2,S2,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_A2_cropped_edited\B07_A2_S2_cropped_16bit_inverted.tif,B07_A2_S2_cropped_16bit_inverted.tif,B07_A2_cropped_edited,"(3750, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,A2,S3,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_A2_cropped_edited\B07_A2_S3_cropped_16bit_inverted.tif,B07_A2_S3_cropped_16bit_inverted.tif,B07_A2_cropped_edited,"(3750, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,A2,S4,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_A2_cropped_edited\B07_A2_S4_cropped_16bit_inverted.tif,B07_A2_S4_cropped_16bit_inverted.tif,B07_A2_cropped_edited,"(3750, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,A2,S5,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_A2_cropped_edited\B07_A2_S5_cropped_16bit_inverted.tif,B07_A2_S5_cropped_16bit_inverted.tif,B07_A2_cropped_edited,"(3750, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,AntCing,S1,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_antcing_cropped_edited\B07_AntCing_S1_cropped_16bit_inverted.tif,B07_AntCing_S1_cropped_16bit_inverted.tif,B07_antcing_cropped_edited,"(2185, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,AntCing,S2,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_antcing_cropped_edited\B07_AntCing_S2_cropped_16bit_inverted.tif,B07_AntCing_S2_cropped_16bit_inverted.tif,B07_antcing_cropped_edited,"(2185, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,AntCing,S3,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_antcing_cropped_edited\B07_AntCing_S3_cropped_16bit_inverted.tif,B07_AntCing_S3_cropped_16bit_inverted.tif,B07_antcing_cropped_edited,"(2185, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,AntCing,S4,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_antcing_cropped_edited\B07_AntCing_S4_cropped_16bit_inverted.tif,B07_AntCing_S4_cropped_16bit_inverted.tif,B07_antcing_cropped_edited,"(2185, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,AntCing,S5,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_antcing_cropped_edited\B07_AntCing_S5_cropped_16bit_inverted.tif,B07_AntCing_S5_cropped_16bit_inverted.tif,B07_antcing_cropped_edited,"(2185, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Broca,S1,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Broca_cropped_edited\B07_Broca_S1_cropped_16bit_inverted.tif,B07_Broca_S1_cropped_16bit_inverted.tif,B07_Broca_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Broca,S2,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Broca_cropped_edited\B07_Broca_S2_cropped_16bit_inverted.tif,B07_Broca_S2_cropped_16bit_inverted.tif,B07_Broca_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Broca,S3,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Broca_cropped_edited\B07_Broca_S3_cropped_16bit_inverted.tif,B07_Broca_S3_cropped_16bit_inverted.tif,B07_Broca_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Broca,S4,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Broca_cropped_edited\B07_Broca_S4_cropped_16bit_inverted.tif,B07_Broca_S4_cropped_16bit_inverted.tif,B07_Broca_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Broca,S5,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Broca_cropped_edited\B07_Broca_S5_cropped_16bit_inverted.tif,B07_Broca_S5_cropped_16bit_inverted.tif,B07_Broca_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Broca,S6,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Broca_cropped_edited\B07_Broca_S6_cropped_16bit_inverted.tif,B07_Broca_S6_cropped_16bit_inverted.tif,B07_Broca_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Insula,S1,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Insula_cropped_edited\B07_Insula_S1_cropped_16bit_inverted.tif,B07_Insula_S1_cropped_16bit_inverted.tif,B07_Insula_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Insula,S2,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Insula_cropped_edited\B07_Insula_S2_cropped_16bit_invert.tif,B07_Insula_S2_cropped_16bit_invert.tif,B07_Insula_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_invert,,,,,,,
nissl,B07,Insula,S3,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Insula_cropped_edited\B07_Insula_S3_cropped_16bit_inverted.tif,B07_Insula_S3_cropped_16bit_inverted.tif,B07_Insula_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
nissl,B07,Insula,S4,C:\Users\P70089795\Documents\Cortical profiles\corticalprofiles2\analysis_Nissl\B07_Insula_cropped_edited\B07_Insula_S4_cropped_16bit_inverted.tif,B07_Insula_S4_cropped_16bit_inverted.tif,B07_Insula_cropped_edited,"(1900, 300)",uint16,YX,1,ok,cropped_16bit_inverted,,,,,,,
